-....-..--..--..-....- -izmusa
..-.---..-..-..---.-.. föltûnne
..-...-.---.-...-.. fújasd
..-...--.-..-.--...-.. fültanúi
..-...--...-.. füsti
..-...----...-.. füzeti
..-.---.-.. fõd
..-.---.-.. fõne
..-.---...--.--.--...---.-.. fõutakból
..-.---...-.-.-...---.-.. fõúrból
..-.---...---...---.-.. fõútból
..-...---...-.. fûtsd
..-...----...-.. fûzeti
..-...----...-.. fûzre
--..-.-..-- garat
--..-.....-..-- gebém
--...-...-.-.-...-...-- gerincelem
--...-- gitt
--.-.---------.-.-- gnómokat
--...-.-...-- gurut
--.-.--.--.-.--.--.-.-- gyantákat
--.-.-----------.-.-- gyomokat
--.-.--.--.-...-.--.--.-.-- gyávákat
--.-.------.-.-- gyóntat
--.-.------.-.------.-.-- gyóntatókat
--...-..-...-- génû
--...-...--...-...-- gépelem
--...-...--...-...-- gépelem
--...-- gím
--.---.-...-.---.-- gödröm
--.---.-.-.-.---.-- göncöm
--.---.--.---.-- gõgöm
.....--..... habi
.....---..... hamis
.....---..... hamis
.....-.-.-.-..... harcii
.....-..... hasi
.....-.....-..... hasés
.....-----..... hatosi
..... he
.....--..... heges
.....--.-.--..... hegyese
......... heh
............... hehehe
......-...-...... helles
.....-.-.-..... hencse
.....-.-..... hentese
........... hess
.....-.-....-.-..... hetedikese
.....-..... hetese
.....-..-..... hetés
.....-..-..... hetés
.....-..-.---.-..-..... hexameteres
......-...... hides
................. hihess
.................. hihesse
............ hihi
.................. hihihi
......-..-...... hiteles
......-..-........-..-...... hitelesítése
......-...--...--...-...... hitszegése
......-...-...... hitvesi
....----.... hodi
......-...... huss
...... hí
....----.... hódi
....----.... hódi
....---.... hõs
....---.... hõs
....---.......---.... hõseimbe
......--...... hûsei
..-.....-.. ibid
..-.........-.. ibisre
..-.-.-.-.. icce
..-..-.. idd
..-....-.. ideai
..-...--...-.. idegel
..-...--.--...-.. ideggel
..-...--.--...-.. ideggé
..-...--.--..-...-..--.--...-.. idegméreggel
..-...--.--..-...-..--.--...-.. idegméreggé
..-...--.....-.....-.....--...-.. idegsebészeti
..-...--.....-.....-.....--...-.. idegsebészre
..-...--.--...-.. idegzene
..-...--.--...-.. idegzeti
..-.....-.. ideid
..-......-.. ideil
..-......-.. ideire
..-......-.. ideire
..-.......-.. ideié
..-......-..-......-.. idevésed
..-.....-...-....-...-.....-.. idillibbé
..-.....-...-.....-.. idillire
..-....-....-.. idusai
..-..---.-...-.---..-.. idõdrõl
..-..---.-.-.-.---..-.. idõkrõl
..-..---.-.-.-.-.---..-.. idõnkrõl
..-..---..-.. idõre
....-...-.... ifibe
..--.. ige
..-.-----.----.-----.-.. ikonoktól
..-.-.-.. ikre
